alpha,beta,wer,cer
0.01,0.0,0.11048643363480812,0.03769197228816433
0.01,0.5,0.10999755560987534,0.037498183227556804
0.01,1.0,0.11195306770960645,0.03783731408361998
0.01,1.5,0.11244194573453924,0.03783731408361998
0.05,0.0,0.11024199462234173,0.037788866818468096
0.05,0.5,0.11121975067220728,0.037788866818468096
0.05,1.0,0.11048643363480812,0.03759507775786057
0.05,1.5,0.11219750672207285,0.03793420861392374
0.1,0.0,0.11219750672207285,0.03798265587907563
0.1,0.5,0.11121975067220728,0.037740419553316217
0.1,1.0,0.11170862869714006,0.03788576134877186
0.1,1.5,0.11341970178440479,0.038224892204835034
0.5,0.0,0.11879736005866537,0.03933917930332833
0.5,0.5,0.11488633585920313,0.038903153916961385
0.5,1.0,0.1131752627719384,0.03870936485635386
0.5,1.5,0.11121975067220728,0.03856402306089821
1.0,0.0,0.13957467611830848,0.042682040598808195
1.0,0.5,0.13517477389391347,0.04205222615183373
1.0,1.0,0.13028599364458568,0.041325517174555494
1.0,1.5,0.12588609142019067,0.040889491788188556
2.0,0.0,0.26277193840136887,0.05973547793227072
2.0,0.5,0.24150574431679295,0.057119325614069086
2.0,1.0,0.22097286726961624,0.05416404243980427
2.0,1.5,0.20092886824737227,0.05188702097766581
5.0,0.0,0.9210461989733562,0.18981638486507438
5.0,0.5,0.910290882424835,0.1853592364711012
5.0,1.0,0.885846981178196,0.17523375805435784
5.0,1.5,0.8567587386946957,0.1666101448573228
