alpha,beta,wer,cer
0.01,0.0,0.1107308726472745,0.03769197228816433
0.01,0.5,0.11024199462234173,0.037546630492708684
0.01,1.0,0.1109753116597409,0.03759507775786057
0.01,1.5,0.10999755560987534,0.03740128869725304
0.05,0.0,0.1107308726472745,0.03769197228816433
0.05,0.5,0.11024199462234173,0.037546630492708684
0.05,1.0,0.1109753116597409,0.03759507775786057
0.05,1.5,0.10999755560987534,0.03740128869725304
0.1,0.0,0.1107308726472745,0.03769197228816433
0.1,0.5,0.11024199462234173,0.037546630492708684
0.1,1.0,0.1109753116597409,0.03759507775786057
0.1,1.5,0.10999755560987534,0.037449735962404924
0.5,0.0,0.11219750672207285,0.03788576134877186
0.5,0.5,0.1107308726472745,0.03769197228816433
0.5,1.0,0.11024199462234173,0.037546630492708684
0.5,1.5,0.1107308726472745,0.03759507775786057
1.0,0.0,0.11341970178440479,0.03803110314422751
1.0,0.5,0.1107308726472745,0.037740419553316217
1.0,1.0,0.10999755560987534,0.03759507775786057
1.0,1.5,0.1109753116597409,0.03759507775786057
2.0,0.0,0.11513077487166952,0.0383217867351388
2.0,0.5,0.11366414079687118,0.03807955040937939
2.0,1.0,0.11268638474700562,0.03793420861392374
2.0,1.5,0.1107308726472745,0.03769197228816433
5.0,0.0,0.12124175018332926,0.03909694297756892
5.0,0.5,0.11830848203373258,0.038806259386657625
5.0,1.0,0.11806404302126619,0.03866091759120198
5.0,1.5,0.11684184795893425,0.03851557579574633
